Position,Track Name,Artist,Streams,URL,Date,Region
1,Despacito - Remix,Luis Fonsi,292156,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-07-01,ph
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,198443,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-07-01,ph
3,Strip That Down,Liam Payne,141355,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-07-01,ph
4,Mama,Jonas Blue,140832,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6,2017-07-01,ph
5,Shape of You,Ed Sheeran,130875,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-07-01,ph
6,Something Just Like This,The Chainsmokers,124963,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-07-01,ph
7,Attention,Charlie Puth,124553,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-07-01,ph
8,There for You,Martin Garrix,120821,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-07-01,ph
9,2U (feat. Justin Bieber),David Guetta,120749,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-07-01,ph
10,Thunder,Imagine Dragons,113976,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-07-01,ph
11,Symphony (feat. Zara Larsson),Clean Bandit,112036,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-07-01,ph
12,That's What I Like,Bruno Mars,111166,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-07-01,ph
13,Stay (with Alessia Cara),Zedd,108586,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-07-01,ph
14,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,107175,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-07-01,ph
15,Say You Won't Let Go,James Arthur,101283,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-07-01,ph
16,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,99545,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-07-01,ph
17,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,98543,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-07-01,ph
18,Dahil Sa'Yo,Inigo Pascual,98361,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-07-01,ph
19,There's Nothing Holdin' Me Back,Shawn Mendes,98314,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-07-01,ph
20,No Promises (feat. Demi Lovato),Cheat Codes,91644,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-07-01,ph
21,Versace on the Floor,Bruno Mars,88645,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-07-01,ph
22,I Like Me Better,Lauv,86635,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-07-01,ph
23,Most Girls,Hailee Steinfeld,86117,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-07-01,ph
24,Bad Liar,Selena Gomez,85351,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23,2017-07-01,ph
25,Good Life (with G-Eazy & Kehlani),G-Eazy,80969,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-07-01,ph
26,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,80543,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,2017-07-01,ph
27,Down,Fifth Harmony,77357,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ,2017-07-01,ph
28,Your Song,Rita Ora,76957,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-07-01,ph
29,Crying in the Club,Camila Cabello,74855,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev,2017-07-01,ph
30,Touch,Little Mix,73462,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-07-01,ph
31,The Cure,Lady Gaga,72782,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh,2017-07-01,ph
32,Slow Hands,Niall Horan,71226,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-07-01,ph
33,Starving,Hailee Steinfeld,68485,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-07-01,ph
34,Sila,SUD,65915,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-07-01,ph
35,It's Gotta Be You,Isaiah,65399,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-07-01,ph
36,Fresh Eyes,Andy Grammer,63689,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-07-01,ph
37,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,63068,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal,2017-07-01,ph
38,Galway Girl,Ed Sheeran,62476,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-07-01,ph
39,Perfect Strangers,Jonas Blue,62433,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-07-01,ph
40,Tadhana,Up Dharma Down,59973,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-07-01,ph
41,Reminding Me,Shawn Hook,59592,https://open.spotify.com/track/4gqMQftUs22F8pOGVn5Acr,2017-07-01,ph
42,HUMBLE.,Kendrick Lamar,59081,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-07-01,ph
43,Scared to Be Lonely,Martin Garrix,58488,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-07-01,ph
44,Slide (feat. Frank Ocean & Migos),Calvin Harris,57337,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-07-01,ph
45,It Ain't Me (with Selena Gomez),Kygo,57109,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-07-01,ph
46,Why Can't It Be,Kaye Cal,56888,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2017-07-01,ph
47,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,54498,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-07-01,ph
48,Perfect,Ed Sheeran,53823,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-07-01,ph
49,Location,Khalid,51803,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-07-01,ph
50,Hanggang Kailan,Michael Pangilinan,51468,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-07-01,ph
